name,model,formula,time_s,memory_MB,total_reported,construction,checking
mp1,matching_pennies/matching_pennies.prism,matching_pennies/can_odd_win_round_eventually_FALSE.props,1.3111352548003197,282.6484375,0.498,0.066,0.432
mp2,matching_pennies/matching_pennies.prism,matching_pennies/can_they_guarantee_that_odd_always_has_larger_sum_TRUE.props,1.3074840977787971,282.6484375,0.117,0.064,0.053
mp3,matching_pennies/matching_pennies.prism,matching_pennies/can_they_win_simultaneously_FALSE.props,1.3048854004591703,282.6484375,0.106,0.067,0.039
gg4_circular1,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_that_p1234_omniscient_before_10_steps_TRUE.props,1.6477693412452936,283.05859375,1.002,0.646,0.356
gg4_circular2,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_p1_gets_omniscient_before_10_steps_TRUE.props,1.600875848904252,283.05859375,0.922,0.675,0.247
gg4_circular3,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props,1.5499046314507723,283.05859375,0.862,0.687,0.175
gg4_circular4,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_eventually_omniscient_TRUE.props,2.1700700484216213,299.26171875,1.489,0.69,0.799
gg4_circular5,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props,1.3318178113549948,299.26171875,0.661,0.638,0.023
gg4_circular6,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props,1.4048013985157013,299.26171875,0.751,0.65,0.101
gg4_circular7,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p234_eventually_omniscient_without_p1_TRUE.props,2.107313683256507,302.4765625,1.452,0.648,0.804
gg5_circular1,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p12345_ensure_that_p12345_omniscient_before_10_steps_TRUE.props,7.044278305023909,2311.10546875,6.271,3.617,2.654
gg5_circular2,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p12345_ensure_p1_gets_omniscient_before_10_steps_TRUE.props,5.662245577201247,2311.10546875,4.927,3.679,1.248
gg5_circular3,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p12345_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props,5.127598166465759,2311.10546875,4.407,3.603,0.804
gg5_circular4,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p12345_eventually_omniscient_TRUE.props,8.431966807693243,3145.2734375,7.611,3.65,3.961
gg5_circular5,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props,4.619091747328639,3145.2734375,3.873,3.727,0.146
gg5_circular6,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props,5.574054436758161,3145.2734375,4.811,4.009,0.802
gg5_circular7,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p2345_eventually_omniscient_without_p1_TRUE.props,10.463489821180701,3145.2734375,9.628,3.727,5.901
gg6_circular1,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p123456_ensure_that_p123456_omniscient_before_10_steps_TRUE.props,72.37353366613388,6751.609375,71.356,54.363,16.993
gg6_circular2,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.props,69.41722200065851,13422.4140625,68.056,53.788,14.268
gg6_circular3,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props,60.02997877821326,13422.4140625,59.084,53.911,5.173
gg6_circular4,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p123456_eventually_omniscient_TRUE.props,87.78561120480299,13422.4140625,86.701,54.276,32.425
gg6_circular5,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props,55.5695996619761,13422.4140625,54.689,53.695,0.994
gg6_circular6,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props,60.955515747889876,13422.4140625,60.028,54.066,5.962
gg6_circular7,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.props,114.68184075318277,13422.4140625,113.655,53.99,59.665
gg4_total1,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1234_ensure_that_p1234_omniscient_before_10_steps_TRUE.props,7.5353720765560865,13422.4140625,6.781,5.403,1.378
gg4_total2,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1234_ensure_p1_gets_omniscient_before_10_steps_TRUE.props,8.010174805298448,13422.4140625,7.181,5.363,1.818
gg4_total3,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1234_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props,7.153003036975861,13422.4140625,6.361,5.614,0.747
gg4_total4,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1234_eventually_omniscient_TRUE.props,9.34396569058299,13422.4140625,8.533,5.685,2.848
gg4_total5,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props,6.025704734027386,13422.4140625,5.293,5.224,0.069
gg4_total6,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props,6.663480795919895,13422.4140625,5.918,5.461,0.457
gg4_total7,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p234_eventually_omniscient_without_p1_TRUE.props,10.704543676227331,13422.4140625,9.939,6.253,3.686
mexican_standoff_3p_3hp_lcgs_survive_threads,mexican_standoff/mexican_standoff_3p_3hp.prism,mexican_standoff/can_p1_guarantee_to_survive_FALSE.props,1.325269566848874,13422.4140625,0.169,0.103,0.066
mexican_standoff_3p_3hp_lcgs_suicide_threads,mexican_standoff/mexican_standoff_3p_3hp.prism,mexican_standoff/can_p1_suicide_FALSE.props,1.3198424652218819,13422.4140625,0.148,0.105,0.043
mexican_standoff_5p_1hp_lcgs_survive_threads,mexican_standoff/mexican_standoff_5p_1hp.prism,mexican_standoff/can_p1_guarantee_to_survive_FALSE.props,492.723435100168,13422.4140625,491.832,491.494,0.338
mexican_standoff_5p_1hp_lcgs_suicide_threads,mexican_standoff/mexican_standoff_5p_1hp.prism,mexican_standoff/can_p1_suicide_FALSE.props,492.83601666241884,13422.4140625,491.902,491.623,0.279
mexican_standoff_5p_3hp_lcgs_survive_threads,mexican_standoff/mexican_standoff_5p_3hp.prism,mexican_standoff/can_p1_guarantee_to_survive_FALSE.props,4452.488751439378,13422.4140625,4451.539,4425.931,25.608
mexican_standoff_5p_3hp_lcgs_suicide_threads,mexican_standoff/mexican_standoff_5p_3hp.prism,mexican_standoff/can_p1_suicide_FALSE.props,2399.87138524279,13422.4140625,2398.803,2389.059,9.744
rps2,rock_paper_scissors/rock_paper_scissors.prism,rock_paper_scissors/p1_can_win_eventually_FALSE.props,1.408138770610094,13422.4140625,0.044,0.025,0.019
rps1,rock_paper_scissors/rock_paper_scissors.prism,rock_paper_scissors/p1_never_lose_FALSE.props,1.292081257328391,13422.4140625,0.004,0.024,0.02
